79.0 [Titulo:Bioshock ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/bioshock-the-collection-xbox-one-9373770.html; Doc:177 ]
80.0 [Titulo:Xcom 2 ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/xcom-2-ps4-9373367; Doc:178 ]
81.0 [Titulo:Xcom 2 ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/xcom-2-ps4-9373367.html; Doc:179 ]
82.0 [Titulo:UFC 2 ; Preco:R$ 179,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/ufc-2-ps4-9257647; Doc:180 ]
83.0 [Titulo:UFC 2 ; Preco:R$ 179,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/ufc-2-ps4-9257647.html; Doc:181 ]
84.0 [Titulo:Lords Of The Fallen Complete Edition ; Preco:R$ 179,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/lords-of-the-fallen-complete-edition-ps4-9231527; Doc:182 ]
85.0 [Titulo:Lords Of The Fallen Complete Edition ; Preco:R$ 179,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/lords-of-the-fallen-complete-edition-ps4-9231527.html; Doc:183 ]
86.0 [Titulo:Let's Sing 2016 ; Preco:R$ 143,91; genero:Estrat?gia,Racioc?nio; desenvolvedor:null; Url:https://www.saraiva.com.br/lets-sing-2016-ps4-9220020; Doc:184 ]
87.0 [Titulo:Let's Sing 2016 ; Preco:R$ 143,91; genero:Estrat?gia,Racioc?nio; desenvolvedor:null; Url:https://www.saraiva.com.br/lets-sing-2016-ps4-9220020.html; Doc:185 ]
88.0 [Titulo:The Book Of Unwritten Tales 2 ; Preco:R$ 143,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/the-book-of-unwritten-tales-2-xbox-one-9093166; Doc:186 ]
89.0 [Titulo:The Book Of Unwritten Tales 2 ; Preco:R$ 143,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/the-book-of-unwritten-tales-2-xbox-one-9093166.html; Doc:187 ]
90.0 [Titulo:Combo Call Of Duty ; Preco:R$ 161,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/combo-call-of-duty-black-ops-i-ii-ps3-8886738; Doc:188 ]
91.0 [Titulo:Combo Call Of Duty ; Preco:R$ 161,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/combo-call-of-duty-black-ops-i-ii-ps3-8886738.html; Doc:189 ]
92.0 [Titulo:Wwe 2K17 + Camiseta ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/wwe-2k17-camiseta-ps3-9378964; Doc:198 ]
93.0 [Titulo:Wwe 2K17 + Camiseta ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/wwe-2k17-camiseta-ps3-9378964.html; Doc:199 ]
94.0 [Titulo:Mafia III + Brinde Camiseta ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mafia-iii-brinde-camiseta-xbox-one-9374370; Doc:200 ]
95.0 [Titulo:Mafia III + Brinde Camiseta ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mafia-iii-brinde-camiseta-xbox-one-9374370.html; Doc:201 ]
96.0 [Titulo:Mafia III + Brinde Camiseta ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mafia-iii-brinde-camiseta-ps4-9374368; Doc:202 ]
97.0 [Titulo:Mafia III + Brinde Camiseta ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mafia-iii-brinde-camiseta-ps4-9374368.html; Doc:203 ]
98.0 [Titulo:Ghostbusters ; Preco:R$ 206,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/ghostbusters-xbox-one-9350178; Doc:204 ]
99.0 [Titulo:Ghostbusters ; Preco:R$ 206,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/ghostbusters-xbox-one-9350178.html; Doc:205 ]
100.0 [Titulo:Fallout 4 ; Preco:R$ 179,10; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/fallout-4-ps4-8987080; Doc:208 ]
101.0 [Titulo:Fallout 4 ; Preco:R$ 179,10; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/fallout-4-ps4-8987080.html; Doc:209 ]
102.0 [Titulo:Call Of Duty ; Preco:R$ 206,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/call-of-duty-advanced-warfare-golden-edition-ps3-8874550; Doc:210 ]
103.0 [Titulo:Call Of Duty ; Preco:R$ 206,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/call-of-duty-advanced-warfare-golden-edition-ps3-8874550.html; Doc:211 ]
104.0 [Titulo:Styx ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/styx-shards-of-darkness-xbox-one-9428069; Doc:216 ]
105.0 [Titulo:Styx ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/styx-shards-of-darkness-xbox-one-9428069.html; Doc:217 ]
106.0 [Titulo:Asseto Corsa ; Preco:R$ 224,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/asseto-corsa-xbox-one-9416950; Doc:220 ]
107.0 [Titulo:Asseto Corsa ; Preco:R$ 224,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/asseto-corsa-xbox-one-9416950.html; Doc:221 ]
108.0 [Titulo:Ride 2 ; Preco:R$ 224,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/ride-2-ps4-9416115; Doc:222 ]
109.0 [Titulo:Ride 2 ; Preco:R$ 224,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/ride-2-ps4-9416115.html; Doc:223 ]
